,City,Country,Longitude,Latitude,Max Temperature,Humidity,Cloud Cover,Wind Speed
453,kampot,kh,104.18,10.62,78.8,94,90,9.17
454,enugu,ng,7.5,6.45,63.4,83,0,2.62
455,carnarvon,za,22.13,-30.97,72.09,40,0,5.53
456,zhob,pk,69.45,31.34,46.48,80,76,3.85
457,lagos,ng,3.39,6.46,77.0,94,20,2.24
458,dingle,ie,-10.27,52.14,47.79,100,32,16.82
459,saint-pierre,pm,-56.17,46.77,27.27,100,44,3.74
460,yulara,au,130.99,-25.24,111.2,13,88,8.05
461,birao,cf,22.78,10.3,67.23,33,8,14.81
462,mitchell,us,-98.03,43.71,33.98,69,1,5.82
463,ranghulu,cn,124.88,46.63,13.45,35,0,12.8
464,aksay,kz,53.01,51.17,13.5,88,76,10.78
465,hirara,jp,125.28,24.8,78.8,69,40,14.99
466,udayagiri,in,76.68,12.32,77.31,35,0,11.23
467,tessalit,ml,1.01,20.2,40.68,58,0,4.18
468,abadszalok,hu,20.6,47.47,23.0,85,0,2.24
469,lake havasu city,us,-114.34,34.47,48.2,24,1,4.7
470,fort nelson,ca,-122.69,58.81,1.4,84,5,3.36
471,aksu,cn,80.26,41.12,17.77,74,36,3.18
472,okha,ru,142.95,53.59,13.23,83,32,21.18
473,seoul,kr,126.98,37.57,35.6,37,20,4.7
474,kyzyl-suu,kg,78.0,42.34,24.21,100,8,0.38
475,matara,lk,80.54,5.95,83.2,91,0,2.95
476,kaeo,nz,173.78,-35.1,73.62,47,0,17.27
477,monzon,es,0.19,41.91,32.0,91,90,3.36
478,vila franca do campo,pt,-25.43,37.72,64.4,93,75,10.29
479,tabuk,sa,36.58,28.38,37.4,59,20,4.7
480,lethem,gy,-59.8,3.38,79.33,69,44,10.33
481,caibarien,cu,-79.47,22.52,68.0,94,20,4.7
482,bonavista,ca,-53.11,48.65,12.42,100,0,8.99
483,muros,es,-9.06,42.77,37.4,80,0,4.7
484,meulaboh,id,96.13,4.14,83.65,100,36,2.39
485,luanda,ao,13.24,-8.83,77.76,95,100,4.29
486,ambilobe,mg,49.05,-13.19,76.95,100,88,2.39
487,cabedelo,br,-34.84,-6.97,75.2,88,20,4.7
488,te anau,nz,167.72,-45.41,63.22,51,48,7.2
489,tam ky,vn,108.48,15.57,75.2,73,75,6.93
490,pomabamba,pe,-77.46,-8.82,34.78,85,24,1.72
491,richards bay,za,32.06,-28.77,71.91,92,32,7.87
492,hailey,us,-114.32,43.52,15.8,85,5,6.93
493,van,tr,43.37,38.51,33.8,55,75,9.17
494,wamba,cd,27.99,2.14,70.42,88,32,2.95
495,chauk,mm,94.82,20.89,78.12,70,0,5.19
496,parabel,ru,81.5,58.71,1.35,82,80,6.42
497,namibe,ao,12.15,-15.19,74.7,100,44,3.51
498,khandyga,ru,135.58,62.65,-38.89,0,36,2.62
499,ulaangom,mn,92.07,49.98,-9.68,69,0,0.38
500,tabas,ir,56.92,33.6,46.71,65,0,7.76
501,harper,lr,-7.71,4.38,82.48,100,68,10.67
502,port augusta,au,137.76,-32.49,73.4,64,12,25.28
503,korla,cn,86.15,41.76,18.72,95,80,3.96
504,san cristobal,ec,-79.44,-1.02,58.86,100,64,1.72
505,dabola,gn,-11.11,10.74,52.74,69,0,2.62
506,murygino,ru,49.46,58.74,19.26,90,80,10.67
507,altoona,us,-78.39,40.52,30.92,78,1,5.82
508,balkhash,kz,74.98,46.84,17.6,92,90,15.66
509,ramnagar,in,81.4,27.09,59.0,72,0,3.36
510,pozo colorado,py,-58.8,-23.49,79.83,76,44,8.77
511,conceicao do araguaia,br,-49.26,-8.26,73.62,88,12,3.62
512,lovozero,ru,35.02,68.01,0.9,60,44,3.4
513,oum hadjer,td,19.7,13.3,62.23,54,20,3.62
514,manadhoo,mv,73.38,5.77,82.75,100,8,16.15
515,tagusao,ph,117.81,9.19,86.8,71,12,11.79
516,axim,gh,-2.24,4.87,81.9,100,0,7.65
517,panguna,pg,155.48,-6.32,81.36,71,88,6.98
518,hammerfest,no,23.68,70.66,35.6,100,75,18.34
519,soyo,ao,12.37,-6.13,76.72,94,48,3.62
520,edinburg,us,-98.16,26.3,46.4,85,1,2.95
521,hualmay,pe,-77.61,-11.1,60.97,95,36,1.61
522,sao joao da barra,br,-41.05,-21.64,79.42,99,8,18.05
523,trinidad,bo,-64.9,-14.83,78.43,84,24,3.51
524,bhasawar,in,77.03,27.03,64.93,74,20,4.18
525,blythe,us,-114.59,33.61,39.92,40,1,5.82
526,basoko,cd,23.61,1.23,73.35,96,32,4.07
527,longonjo,ao,15.25,-12.91,60.88,94,12,3.06
528,kollam,in,76.6,8.88,84.2,66,20,4.7
529,hof,no,10.09,59.53,39.2,60,88,3.62
530,pakokku,mm,95.09,21.33,76.45,74,0,4.97
531,tarko-sale,ru,77.78,64.92,16.15,83,80,14.7
532,kurilsk,ru,147.88,45.23,29.47,100,64,15.37
533,zharkovskiy,ru,32.27,55.85,25.65,92,88,7.31
534,morwa,in,73.84,22.9,78.03,40,0,7.99
535,mitsamiouli,km,43.28,-11.38,77.0,94,90,9.17
536,kuching,my,110.34,1.56,89.6,70,75,6.93
537,bilibino,ru,166.44,68.06,-27.37,41,44,2.39
538,tangwani,pk,69.0,28.28,55.4,76,40,4.7
539,dafeng,cn,120.46,33.2,44.82,100,92,12.91
540,turayf,sa,38.65,31.68,32.0,79,0,4.7
541,ozernovskiy,ru,156.52,51.5,10.57,100,8,1.95
542,ferme-neuve,ca,-75.45,46.7,23.31,92,92,6.53
543,ouadda,cf,22.4,8.07,71.19,38,12,15.03
544,nemuro,jp,145.57,43.32,30.2,54,20,8.05
545,belmonte,br,-53.58,-26.84,73.03,97,24,2.39
546,amalapuram,in,82.0,16.58,73.4,69,0,8.05
547,kavaratti,in,72.64,10.57,83.47,100,0,6.53
548,praia,cv,-23.51,14.92,71.6,73,0,16.11
549,brae,gb,-1.35,60.4,48.2,93,92,24.16
550,jinji,cn,112.49,22.16,64.8,88,92,4.97
551,ngunguru,nz,174.5,-35.62,72.13,80,0,21.3
552,aykhal,ru,111.51,65.95,-17.15,24,0,4.97
553,fort-shevchenko,kz,50.26,44.51,31.59,100,0,16.71
554,charcas,mx,-101.11,23.13,41.8,86,12,2.73
555,furano,jp,142.47,43.28,28.4,74,75,13.87
556,alepe,ci,-3.66,5.5,82.4,83,20,5.82
557,mecca,sa,39.83,21.43,67.95,57,0,3.96
558,yanam,in,82.22,16.73,73.4,69,0,8.05
559,maltahohe,na,16.98,-24.83,71.64,65,0,4.07
560,kidal,ml,1.41,18.44,42.52,72,0,5.3
561,sorland,no,12.69,67.67,41.0,75,75,9.17
562,arnedo,es,-2.1,42.23,32.0,47,0,8.05
563,lincoln,nz,172.49,-43.64,64.4,72,0,19.46
564,karlstad,se,13.5,59.38,35.6,74,36,4.7
565,celestun,mx,-90.4,20.87,75.96,98,20,5.97
566,westport,nz,171.6,-41.75,60.7,79,32,5.41
567,flinders,au,150.85,-34.58,87.8,55,32,11.41
568,vanimo,pg,141.3,-2.67,82.71,100,44,23.09
569,mochumi,pe,-79.86,-6.55,73.4,78,75,11.41
570,ulundi,za,31.43,-28.29,65.52,82,64,3.62
571,olavarria,ar,-60.32,-36.89,58.23,60,0,7.54
572,the valley,ai,-63.06,18.22,77.0,73,20,12.75
573,misantla,mx,-96.85,19.93,63.85,100,64,8.66
574,kutum,sd,24.66,14.2,54.27,58,20,3.4
575,el tarra,co,-73.09,8.57,68.58,67,0,2.62
576,rupert,us,-113.68,42.62,19.94,73,1,17.22
577,caravelas,br,-39.27,-17.73,79.83,100,32,19.06
578,sabang,id,120.82,1.17,82.98,100,32,13.24
579,general higinio morinigo,py,-55.92,-25.95,74.65,94,0,2.51
580,edd,er,41.69,13.93,74.07,39,0,3.06
581,bathsheba,bb,-59.52,13.22,77.0,78,40,17.22
582,nalagarh,in,76.72,31.04,56.34,52,56,2.95
583,najran,sa,44.22,17.54,55.4,30,0,4.63
584,pueblo,us,-104.61,38.25,30.02,65,1,4.7
585,shihezi,cn,86.03,44.3,4.14,94,76,4.74
586,roald,no,6.12,62.58,46.4,93,75,23.04
587,west wendover,us,-114.07,40.74,15.98,84,1,2.51
588,bridgetown,bb,-59.62,13.1,77.0,78,40,17.22
589,jiexiu,cn,111.92,37.02,30.28,42,24,3.18
590,alyangula,au,136.42,-13.85,91.4,52,64,8.05
591,san jeronimo,mx,-110.79,29.37,51.8,40,5,2.95
592,tornio,fi,27.27,61.12,17.6,100,90,8.05
593,terracina,it,13.25,41.29,28.44,100,0,7.2
594,xiongzhou,cn,118.83,32.34,42.8,100,90,4.47
595,azangaro,pe,-70.2,-14.91,36.27,100,92,2.95
596,raahe,fi,24.47,64.68,23.0,100,76,4.7
597,abu kamal,sy,40.92,34.45,42.52,83,0,3.18
598,kushima,jp,131.29,31.5,57.2,71,40,2.24
599,santa barbara,mx,-108.72,27.12,39.55,77,0,2.17
600,shache,cn,77.24,38.42,21.51,65,88,5.41
601,vallenar,cl,-70.76,-28.58,59.62,80,0,0.6
602,north bend,us,-124.22,43.41,51.98,66,90,14.99
603,putina,pe,-69.87,-14.91,36.99,100,92,3.96
604,tromso,no,18.96,69.65,33.8,86,75,2.24
605,westerland,de,8.3,54.91,43.29,87,76,25.55
606,aksha,ru,113.29,50.28,4.23,40,0,13.8
607,victor harbor,au,138.62,-35.55,73.4,56,0,25.28
608,patacamaya,bo,-67.92,-17.23,43.33,100,92,3.74
609,necochea,ar,-58.74,-38.55,54.36,86,0,4.74
610,morondava,mg,44.28,-20.3,87.66,72,0,2.84
611,san matias,bo,-58.4,-16.36,78.12,86,8,2.73
612,kano,ng,8.53,11.99,50.67,59,0,6.64
613,majene,id,118.97,-3.54,84.51,96,12,10.11
614,shu,kz,73.76,43.6,29.79,94,64,2.84
615,monrovia,lr,-10.8,6.33,73.03,86,0,3.62
616,noo,ee,26.54,58.28,21.2,73,88,5.82
617,mauganj,in,81.88,24.67,68.13,75,0,4.52
618,domoni,km,44.53,-12.26,81.85,100,0,9.22
619,kharitonovo,ru,47.5,61.4,21.69,90,88,3.74
620,takoradi,gh,-1.75,4.89,79.87,100,0,5.75
621,arlit,ne,7.39,18.74,45.45,81,0,4.18
622,marica,br,-42.82,-22.92,84.2,66,40,4.7
623,kruisfontein,za,24.73,-34.0,68.94,82,8,7.65
624,mumbwa,zm,27.06,-14.99,69.43,98,80,4.52
625,pisco,pe,-76.2,-13.71,71.6,83,40,10.29
626,thanh hoa,vn,106.33,10.21,86.0,70,40,17.22
627,massillon,us,-81.52,40.8,33.08,78,1,10.29
628,xichang,cn,102.25,27.88,54.45,20,0,3.74
629,margate,za,30.37,-30.86,72.18,94,92,14.81
630,presidencia roque saenz pena,ar,-60.44,-26.79,74.2,96,88,10.89
631,berezovyy,ru,135.7,51.67,-4.15,63,56,1.5
632,qingdao,cn,120.35,36.09,37.4,69,90,4.47
633,devonport,au,146.36,-41.18,78.84,59,12,13.58
634,severinia,br,-48.8,-20.81,75.2,73,40,4.7
635,nurota,uz,65.69,40.56,41.0,75,92,4.7
636,gwadar,pk,62.33,25.12,72.22,89,56,3.51
637,nouadhibou,mr,-17.03,20.93,61.42,70,56,13.35
638,parchim,de,11.85,53.43,35.6,93,75,11.41
639,oistins,bb,-59.53,13.07,77.0,78,40,17.22
640,yuncheng,cn,111.0,35.03,33.57,64,88,3.62
641,sao felix do xingu,br,-51.99,-6.64,72.67,100,32,2.06
642,san luis,ar,-66.34,-33.3,62.64,57,0,2.73
643,champagnole,fr,5.91,46.75,35.6,59,20,16.11
644,yara,cu,-76.95,20.27,71.23,87,20,1.16
645,labuhan,id,115.51,-2.54,90.09,60,20,3.29
646,nenjiang,cn,125.23,49.17,2.83,55,64,9.44
647,karasjok,no,25.52,69.47,37.4,64,44,28.86
648,bima,id,118.73,-8.45,81.58,86,88,5.64
649,warrnambool,au,142.48,-38.38,66.73,81,20,15.26
650,maues,br,-57.72,-3.38,73.57,99,80,0.94
651,tual,id,132.75,-5.67,82.53,100,68,14.47
652,mahuta,tz,39.42,-10.87,82.08,91,12,4.41
653,ginir,et,40.71,7.14,71.19,30,0,5.3
654,tra vinh,vn,106.35,9.93,80.55,87,80,16.15
655,uyuni,bo,-66.82,-20.46,43.42,100,92,3.62
656,teruel,es,-1.11,40.34,33.8,63,0,1.12
657,xuanzhou,cn,118.78,30.95,45.72,100,92,7.65
658,borogontsy,ru,131.17,62.67,-23.5,34,68,2.62
659,ishigaki,jp,124.16,24.34,75.2,73,40,13.87
660,jining,cn,116.58,35.41,40.14,75,64,7.54
661,dukat,ru,155.55,62.55,-19.63,76,36,5.19
662,camargo,mx,-105.17,27.69,25.42,63,0,1.5
663,oktyabrskiy,ru,37.97,55.61,24.8,100,90,2.24
664,griffith,au,146.06,-34.29,107.6,13,0,16.11
665,larsnes,no,5.58,62.2,46.4,100,75,14.99
666,alice springs,au,133.88,-23.7,111.2,13,0,12.75
667,coahuayana,mx,-100.35,18.62,53.95,74,56,2.17
668,kununurra,au,128.74,-15.77,75.2,88,0,12.75
669,saint-joseph,re,55.62,-21.37,86.0,74,90,3.36
670,kargasok,ru,80.87,59.06,2.88,77,80,5.08
671,punta cardon,ve,-70.22,11.61,77.49,77,0,18.5
672,buraydah,sa,43.97,26.33,42.8,93,0,2.24
673,carolina,br,-47.47,-7.33,71.68,91,0,7.43
674,corpus christi,us,-97.4,27.8,49.1,76,1,4.7
675,kefamenanu,id,124.48,-9.45,82.12,66,92,2.84
676,bogale,mm,95.4,16.29,88.15,55,0,7.99
677,reforma,mx,-104.65,24.02,43.2,73,44,2.95
678,varhaug,no,5.65,58.61,39.2,93,90,2.24
679,ko samui,th,99.94,9.54,78.8,94,75,14.99
680,baft,ir,56.61,29.23,44.55,36,0,6.76
681,ornskoldsvik,se,18.72,63.29,39.2,88,92,11.41
682,sechura,pe,-80.82,-5.56,69.7,91,0,6.98
683,pyshchug,ru,45.71,58.89,22.59,86,88,4.52
684,bati,et,40.02,11.19,68.85,57,0,3.18
685,linhares,br,-40.06,-19.38,73.03,89,36,6.64
686,chatellerault,fr,0.53,46.8,28.4,100,0,8.05
687,batsfjord,no,29.72,70.63,24.8,79,75,16.11
688,liverpool,ca,-64.71,44.04,31.68,98,0,4.41
689,sinnamary,gf,-52.96,5.38,74.38,100,92,6.76
690,gramsh,al,20.19,40.87,17.77,87,80,2.62
691,mogadishu,so,45.34,2.04,78.8,74,75,9.17
692,sicamous,ca,-118.99,50.84,35.6,93,90,10.29
693,santa rosa,ar,-64.29,-36.62,53.5,69,0,2.95
694,paramonga,pe,-77.82,-10.68,68.22,100,56,7.76
695,waipawa,nz,176.59,-39.94,70.02,52,56,8.99
696,cabra,ph,120.05,13.89,82.48,93,32,27.89
697,serenje,zm,30.22,-13.23,66.6,100,88,3.96
698,neuquen,ar,-68.06,-38.95,62.6,48,0,5.82
699,bafq,ir,55.4,31.6,54.27,22,0,6.42
700,hamilton,bm,-64.78,32.3,69.8,88,75,25.28
701,thinadhoo,mv,72.93,0.53,82.08,100,80,12.46
702,pevek,ru,170.27,69.7,-7.7,93,64,18.84
703,kunming,cn,102.71,25.04,55.4,43,0,15.66
704,chumikan,ru,135.31,54.72,-0.32,55,0,3.85
705,matagami,ca,-77.63,49.76,23.0,92,90,12.75
706,goya,ar,-59.27,-29.14,69.25,89,92,11.45
707,limbang,my,115.0,4.75,87.8,70,75,5.82
708,urengoy,ru,78.37,65.96,16.83,86,80,16.82
709,grand-santi,gf,-54.38,4.27,70.87,100,92,2.39
710,plettenberg bay,za,23.37,-34.05,67.41,93,8,1.5
711,kuusamo,fi,29.19,65.96,14.0,85,90,4.7
712,kisangani,cd,25.21,0.52,72.4,99,44,2.95
713,rantepao,id,119.9,-2.97,76.63,91,32,0.6
714,nouakchott,mr,-15.98,18.08,60.8,18,0,8.05
715,kodinsk,ru,99.18,58.6,-5.23,69,36,4.85
716,leh,in,77.58,34.16,-17.74,77,32,1.16
717,chabahar,ir,60.65,25.29,73.53,100,56,3.74
718,cockburn town,bs,-74.52,24.03,77.98,97,44,15.26
719,bad sooden-allendorf,de,9.97,51.27,26.6,92,75,2.24
720,geraldton,ca,-86.95,49.72,32.0,89,90,10.29
721,kushiro,jp,144.15,43.11,30.2,58,75,6.93
722,sept-iles,ca,-66.38,50.2,-9.41,83,20,4.7
723,conceicao do coite,br,-39.28,-11.56,70.02,91,44,6.76
724,noshiro,jp,140.05,40.21,39.2,69,75,9.17
725,tshikapa,cd,20.79,-6.42,76.72,89,68,1.95
726,mineral wells,us,-98.11,32.81,38.3,88,90,10.29
727,voskresenskoye,ru,45.43,56.84,20.07,87,88,5.75
728,turukhansk,ru,87.96,65.8,10.35,80,88,21.52
729,upata,ve,-62.41,8.02,70.6,94,0,8.43
730,umm lajj,sa,37.27,25.02,61.65,100,0,6.76
731,scarborough,tt,-60.73,11.18,75.2,78,20,4.7
732,nhulunbuy,au,136.78,-12.18,93.2,49,20,8.05
733,tutoia,br,-42.27,-2.76,77.76,91,20,11.34
734,xinqing,cn,129.53,48.28,12.6,64,80,4.52
735,estelle,us,-97.01,32.87,37.94,89,90,13.87
736,farah,af,62.11,32.37,52.83,87,24,2.73
737,xixiang,cn,113.87,22.58,66.2,82,75,11.18
738,tapejara,br,-52.87,-23.73,76.32,80,48,4.63
739,sladkovo,ru,70.34,55.53,14.49,84,88,9.66
740,gornopravdinsk,ru,69.92,60.06,19.71,81,88,8.21
741,ballarpur,in,79.35,19.85,82.03,50,0,4.52
742,ereymentau,kz,73.1,51.62,-9.28,66,44,4.18
743,homer,us,-151.54,59.64,17.96,88,1,8.55
744,tocopilla,cl,-70.2,-22.09,61.6,100,36,1.72
745,coruripe,br,-36.18,-10.12,78.52,100,36,13.02
746,ambam,cm,11.27,2.38,72.18,94,92,2.95
747,grand gaube,mu,57.66,-20.01,84.2,74,40,8.05
748,rehoboth,na,17.08,-23.31,67.27,84,0,4.29
749,lubumbashi,cd,27.48,-11.66,70.83,100,12,4.52
750,bonthe,sl,-12.5,7.53,77.04,94,24,3.74
751,bukachacha,ru,116.91,52.99,-13.33,57,0,3.51
752,osakarovka,kz,72.58,50.56,-6.13,69,36,10.0
753,caconda,ao,15.06,-13.73,62.55,87,0,4.07
754,moerai,pf,-151.33,-22.43,76.18,100,76,3.62
755,tahoua,ne,5.26,14.89,52.29,50,0,13.24
756,port keats,au,129.55,-14.25,90.22,75,0,15.93
757,dombarovskiy,ru,59.54,50.76,-11.98,57,0,3.06
758,jaltenango,mx,-92.72,15.87,69.25,97,36,1.95
759,bani walid,ly,14.0,31.76,40.27,92,8,10.11
760,jizan,sa,42.56,16.89,82.4,78,40,3.36
761,tananger,no,5.59,58.94,44.6,93,90,2.24
762,nivala,fi,24.96,63.93,18.72,78,44,1.95
763,kankakee,us,-87.86,41.12,33.8,86,1,10.78
764,quelimane,mz,36.89,-17.88,86.13,77,80,10.33
765,fort atkinson,us,-88.84,42.93,37.58,89,1,12.75
766,alihe,cn,123.73,50.57,0.22,50,56,3.51
767,marsabit,ke,37.99,2.34,75.69,71,8,9.22
768,pyinmana,mm,96.21,19.74,82.12,54,24,3.18
769,miraflores,co,-73.14,5.2,48.73,100,88,0.83
770,bikin,ru,134.25,46.82,13.5,64,68,3.18
771,zarechnyy,ru,40.4,60.99,17.32,83,64,7.65
772,svetlaya,ru,138.33,46.54,20.97,100,36,5.86
773,bud,no,6.91,62.91,46.4,93,92,19.46
774,dogondoutchi,ne,4.03,13.64,55.12,46,0,11.45
775,eldorado,mx,-107.36,24.32,59.0,67,20,4.29
776,pacifica,us,-122.49,37.61,48.92,62,75,6.93
777,tommot,ru,126.27,58.97,-2.26,57,56,8.43
778,severobaykalsk,ru,109.32,55.65,-18.91,74,0,2.06
779,quang ngai,vn,108.8,15.12,70.38,100,100,2.17
780,pangkalanbuun,id,111.62,-2.68,89.91,79,36,4.18
781,beloha,mg,45.06,-25.17,82.8,69,24,4.74
782,srandakan,id,110.25,-7.94,81.58,97,80,3.96
783,mao,td,15.31,14.12,56.83,28,24,11.23
784,gweta,bw,25.26,-20.21,68.85,86,76,14.25
785,rakitnoye,ru,35.83,50.83,28.4,100,90,4.47
786,galveston,us,-86.19,40.58,33.8,88,1,8.05
787,yelatma,ru,41.75,54.97,24.25,91,88,8.43
788,santa cruz,cr,-85.58,10.26,78.8,69,0,11.41
789,toma,bf,-2.9,12.76,56.16,50,20,4.41
790,san juan de los morros,ve,-67.35,9.91,59.8,100,0,2.17
791,oranjemund,na,16.43,-28.55,62.73,93,92,7.65
792,divnomorskoye,ru,38.13,44.5,49.77,93,92,21.18
793,xingyi,cn,102.82,24.19,60.3,62,0,5.41
794,alta floresta,br,-56.08,-9.87,72.54,98,36,1.95
795,kashiwazaki,jp,138.57,37.37,42.12,88,8,3.85
796,hermiston,us,-119.29,45.84,46.04,65,1,4.7
797,sterling,us,-77.4,39.0,32.0,92,1,2.84
798,oksfjord,no,22.35,70.24,35.6,92,40,5.82
799,gamba,ga,10.02,-2.72,75.87,100,92,8.21
800,skibbereen,ie,-9.27,51.55,42.8,81,75,10.29
801,iracoubo,gf,-53.21,5.48,73.71,98,92,4.41
802,storm lake,us,-95.21,42.64,33.8,74,1,13.87
803,taltal,cl,-70.49,-25.41,59.49,92,24,0.83
804,la ronge,ca,-105.3,55.1,24.8,68,5,10.29
805,myitkyina,mm,97.4,25.38,68.8,67,12,2.95
806,kenai,us,-151.26,60.55,12.02,91,1,6.93
807,sibanicu,cu,-77.53,21.23,71.6,94,20,5.82
808,pekalongan,id,109.67,-6.89,81.09,100,24,4.29
809,mendoza,ar,-68.84,-32.89,51.3,68,0,3.06
810,bom jardim,br,-35.59,-7.8,71.6,88,75,10.29
811,willowmore,za,23.49,-33.3,67.41,62,0,3.29
812,emerald,au,148.16,-23.53,95.0,21,40,14.99
813,moisakula,ee,25.19,58.09,18.54,80,92,8.21
814,batemans bay,au,150.18,-35.71,87.12,52,12,5.64
815,gizo,sb,156.84,-8.1,81.0,100,80,25.32
816,progreso,mx,-99.19,20.25,46.35,92,48,2.39
817,nizwa,om,57.53,22.93,72.54,55,0,3.96
818,lubango,ao,13.49,-14.92,65.2,87,8,3.06
819,cadillac,us,-85.4,44.25,37.04,89,1,17.22
820,sao desiderio,br,-44.97,-12.36,70.2,50,0,7.65
821,port macquarie,au,152.91,-31.43,89.6,49,0,17.22
822,itoman,jp,127.67,26.12,72.86,63,75,11.41
823,koslan,ru,48.9,63.46,4.18,79,0,2.39
824,tanda,in,82.66,26.55,64.53,96,0,4.63
825,excelsior springs,us,-94.23,39.34,33.08,92,1,3.4
826,puerto vallarta,mx,-105.23,20.61,69.8,100,40,2.24
827,mountain home,us,-115.69,43.13,30.02,63,1,11.41
828,bay roberts,ca,-53.28,47.58,5.0,92,5,4.7
829,anadyr,ru,177.51,64.73,-36.41,65,20,13.42
830,zambezi,zm,23.12,-13.55,70.92,93,80,5.19
831,liberia,cr,-85.44,10.63,78.8,69,0,11.41
832,aloleng,ph,119.78,16.13,87.03,75,0,10.56
833,maine-soroa,ne,12.02,13.21,57.55,41,0,10.67
834,khilok,ru,110.46,51.36,-2.62,56,0,7.43
835,noumea,nc,166.46,-22.28,87.8,43,0,26.4
836,abashiri,jp,144.25,44.01,24.8,58,20,2.24
837,aksarka,ru,67.8,66.56,1.93,79,0,9.22
838,kibungo,rw,30.55,-2.14,62.6,93,40,3.36
839,la libertad,ec,-78.64,-0.8,39.1,90,20,2.62
840,kiruna,se,20.23,67.86,30.2,80,88,3.36
841,champerico,gt,-91.92,14.3,77.04,93,92,2.62
842,ketchikan,us,-131.65,55.34,35.96,72,1,13.87
843,miandrivazo,mg,45.46,-19.53,81.13,86,0,3.96
844,novoshcherbinovskaya,ru,38.65,46.48,31.45,100,92,15.7
845,jega,ng,4.38,12.22,61.42,40,0,11.01
846,kichera,ru,110.1,55.93,-14.27,60,0,0.72
847,manaure,co,-72.45,11.78,77.53,89,0,22.19
848,sirpur,in,78.68,18.94,80.91,55,0,4.52
849,nago,jp,127.98,26.59,72.86,55,40,12.75
850,sibolga,id,98.78,1.74,73.93,96,44,1.5
851,goure,ne,10.27,13.98,57.78,48,0,12.01
852,hanzhong,cn,107.03,33.08,32.17,82,92,3.06
853,mandan,us,-100.89,46.83,35.6,78,1,5.82
854,santo antonio do sudoeste,br,-53.73,-26.07,75.82,92,0,2.17
855,dickson,us,-87.39,36.08,44.06,93,90,5.82
856,miles city,us,-105.84,46.41,35.96,72,1,8.05
857,south venice,us,-82.42,27.05,69.98,100,90,5.82
858,ola,ru,151.3,59.58,-1.4,100,0,13.8
859,vernon,us,-72.47,41.84,37.04,69,20,4.7
860,fiumicino,it,12.23,41.77,33.8,59,0,11.41
861,mastung,pk,66.85,29.8,55.75,54,0,10.67
862,la rioja,ar,-66.86,-29.41,65.34,86,8,2.62
863,nabire,id,135.5,-3.36,76.9,87,56,0.6
864,nuevitas,cu,-77.27,21.55,71.6,94,0,4.7
865,bykivka,ua,27.97,50.29,25.87,91,92,4.85
866,lake charles,us,-93.22,30.23,50.0,85,75,6.93
867,charlestown,kn,-62.62,17.13,75.2,78,80,13.87
868,bloemfontein,za,26.22,-29.12,68.0,88,75,11.41
869,ambovombe,mg,46.09,-25.18,81.36,76,68,5.53
870,ponta do sol,pt,-17.1,32.67,60.8,67,40,5.82
871,mounana,ga,13.16,-1.38,71.6,100,75,5.82
